experiment,survey,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13
1,dog_behavior_destructive,4,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,7,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,5,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,6,4,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,6,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,6,1,1,5,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,6,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,5,1,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,1,5,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,4,3,1,5,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,4,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,4,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,5,1,5,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,5,1,1,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,6,1,3,6,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,2,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,5,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,4,4,2,2,1,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,4,1,3,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,5,2,1,5,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,6,6,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,4,1,3,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,2,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,3,3,7,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,4,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,2,5,2,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,1,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,7,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,2,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,2,2,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,5,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,5,1,3,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,3,1,2,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,5,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,6,3,1,2,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,4,3,1,3,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,4,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,3,1,2,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,4,1,2,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,4,4,1,4,4,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,4,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,3,1,2,3,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,3,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,5,1,3,5,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,2,6,2,2,5,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,3,2,1,4,3,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,6,1,2,5,2,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_aggressive,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,7,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,2,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,4,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_nervous,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
